LIFE_STAGE,SPECIES_CODE,SOURCE,x,y,PRES,PRES2
SUBADULT,SCA_COER,MVS,566635.4897399596,2815900.668585647,0,ABSENCE
SUBADULT,SCA_COER,MVS,566636.500608754,2815899.566183816,0,ABSENCE
SUBADULT,SCA_COER,MVS,566637.1614580124,2815766.6780098043,0,ABSENCE
SUBADULT,SCA_COER,MVS,566638.4893026347,2815904.0057896404,0,ABSENCE
SUBADULT,SCA_COER,MVS,566638.6490156008,2815871.891145369,0,ABSENCE
SUBADULT,SCA_COER,MVS,566639.4395893186,2815915.0848051514,0,ABSENCE
SUBADULT,SCA_COER,MVS,566643.389429712,2815929.5010262625,0,ABSENCE
SUBADULT,SCA_COER,MVS,566652.4982590352,2815917.364614595,0,ABSENCE
SUBADULT,SCA_COER,MVS,566659.2249607712,2821025.984251029,0,ABSENCE
SUBADULT,SCA_COER,MVS,566661.1134575021,2821050.357258497,0,ABSENCE
SUBADULT,SCA_COER,MVS,566662.1957243488,2821034.858549269,0,ABSENCE
SUBADULT,SCA_COER,MVS,566669.20294978,2821040.4306649985,0,ABSENCE
SUBADULT,SCA_COER,MVS,566676.1825592521,2821051.5398273445,0,ABSENCE
SUBADULT,SCA_COER,MVS,566676.210169398,2821046.002784566,0,ABSENCE
SUBADULT,SCA_COER,MVS,566678.2145977309,2821047.120215767,0,ABSENCE
SUBADULT,SCA_COER,MVS,566684.2223580551,2821051.579919793,0,ABSENCE
SUBADULT,SCA_COER,MVS,566734.7966318039,2815542.3558434392,0,ABSENCE
SUBADULT,SCA_COER,MVS,566735.8020204441,2815542.3608500063,0,ABSENCE
SUBADULT,SCA_COER,MVS,566737.7741942897,2815550.1226717997,0,ABSENCE
SUBADULT,SCA_COER,MVS,566741.9005334036,2815529.10207664,0,ABSENCE
SUBADULT,SCA_COER,MVS,566743.8947669591,2815532.4342944487,0,ABSENCE
SUBADULT,SCA_COER,MVS,566744.8836103488,2815535.761505277,0,ABSENCE
SUBADULT,SCA_COER,MVS,566748.173390158,2821528.0967303747,0,ABSENCE
SUBADULT,SCA_COER,MVS,566748.9382609627,2815529.1371277715,0,ABSENCE
SUBADULT,SCA_COER,MVS,566752.0095889277,2815518.078138877,0,ABSENCE
SUBADULT,SCA_COER,MVS,566754.1974954725,2821529.2342457767,0,ABSENCE
SUBADULT,SCA_COER,MVS,566756.2073736094,2821529.2442817455,0,ABSENCE
SUBADULT,SCA_COER,MVS,566757.2731405608,2821517.0677974215,0,ABSENCE
SUBADULT,SCA_COER,MVS,566758.2227816547,2821528.146908698,0,ABSENCE
SUBADULT,SCA_COER,MVS,566765.2960691042,2821520.4301727517,0,ABSENCE
SUBADULT,SCA_COER,MVS,566771.2538048639,2821534.856607866,0,ABSENCE
SUBADULT,SCA_COER,MVS,566777.3608776397,2821519.382993605,0,ABSENCE
SUBADULT,SCA_COER,MVS,566798.0308287411,2821807.419929257,0,ABSENCE
SUBADULT,SCA_COER,MVS,566798.0529640247,2821802.990290256,0,ABSENCE
SUBADULT,SCA_COER,MVS,566798.0640316544,2821800.775470765,0,ABSENCE
SUBADULT,SCA_COER,MVS,566800.1015389825,2821795.2484655147,0,ABSENCE
SUBADULT,SCA_COER,MVS,566802.0726382774,2821803.010377501,0,ABSENCE
SUBADULT,SCA_COER,MVS,566804.0492694752,2821809.6648801374,0,ABSENCE
SUBADULT,SCA_COER,MVS,566804.1046126598,2821798.590782567,0,ABSENCE
SUBADULT,SCA_COER,MVS,566806.0037605622,2821820.7490222803,0,ABSENCE
SUBADULT,SCA_COER,MVS,566844.9433077145,2822072.3320460944,0,ABSENCE
SUBADULT,SCA_COER,MVS,566846.9309505805,2822076.7717382438,0,ABSENCE
SUBADULT,SCA_COER,MVS,566848.918592088,2822081.2114307415,0,ABSENCE
SUBADULT,SCA_COER,MVS,566850.9837756788,2822070.147380879,0,ABSENCE
SUBADULT,SCA_COER,MVS,566851.9665186794,2822074.582047749,0,ABSENCE
SUBADULT,SCA_COER,MVS,566851.9720575728,2822073.47463756,0,ABSENCE
SUBADULT,SCA_COER,MVS,566851.9775964642,2822072.3672273713,0,ABSENCE
SUBADULT,SCA_COER,MVS,566852.0108297698,2822065.722766274,0,ABSENCE
SUBADULT,SCA_COER,MVS,566911.5618684724,2822214.4174601696,0,ABSENCE
SUBADULT,SCA_COER,MVS,566914.5987094962,2822210.0029112813,0,ABSENCE
SUBADULT,SCA_COER,MVS,566915.6257755216,2822205.5783005767,0,ABSENCE
SUBADULT,SCA_COER,MVS,566915.6368644454,2822203.363479665,0,ABSENCE
SUBADULT,SCA_COER,MVS,566916.6084858046,2822210.0129736285,0,ABSENCE
SUBADULT,SCA_COER,MVS,566919.6453294813,2822205.598425853,0,ABSENCE
SUBADULT,SCA_COER,MVS,566919.7118668988,2822192.309500405,0,ABSENCE
SUBADULT,SCA_COER,MVS,566922.6211795857,2822213.36539391,0,ABSENCE
SUBADULT,SCA_COER,MVS,566954.2450024073,2822319.8378643123,0,ABSENCE
SUBADULT,SCA_COER,MVS,566954.2949336169,2822309.871168376,0,ABSENCE
SUBADULT,SCA_COER,MVS,566957.270569534,2821113.853434637,0,ABSENCE
SUBADULT,SCA_COER,MVS,566957.2707386321,2822317.638146099,0,ABSENCE
SUBADULT,SCA_COER,MVS,566957.3040275979,2822310.9936821205,0,ABSENCE
SUBADULT,SCA_COER,MVS,566959.2638538845,2822320.970447239,0,ABSENCE
SUBADULT,SCA_COER,MVS,566959.2971438864,2822314.3259832165,0,ABSENCE
SUBADULT,SCA_COER,MVS,566960.3186694934,2822311.008785892,0,ABSENCE
SUBADULT,SCA_COER,MVS,566962.3397895894,2821105.019325681,0,ABSENCE
SUBADULT,SCA_COER,MVS,566963.2504796596,2821123.850312393,0,ABSENCE
SUBADULT,SCA_COER,MVS,566963.3059392786,2821112.7762218565,0,ABSENCE
SUBADULT,SCA_COER,MVS,566964.3608242291,2821102.814573462,0,ABSENCE
SUBADULT,SCA_COER,MVS,566966.3153052379,2821113.898730056,0,ABSENCE
SUBADULT,SCA_COER,MVS,566969.3302171627,2821113.9138298887,0,ABSENCE
SUBADULT,SCA_COER,MVS,566972.4570407743,2821292.226842339,0,ABSENCE
SUBADULT,SCA_COER,MVS,566973.3778336517,2821108.3969187657,0,ABSENCE
SUBADULT,SCA_COER,MVS,566976.3881103557,2821309.9655277445,0,ABSENCE
SUBADULT,SCA_COER,MVS,566978.3425456317,2821321.049689807,0,ABSENCE
SUBADULT,SCA_COER,MVS,566980.3302644643,2821325.489396203,0,ABSENCE
SUBADULT,SCA_COER,MVS,566984.3389871573,2821327.7243538154,0,ABSENCE
SUBADULT,SCA_COER,MVS,566984.3889206791,2821317.7576695764,0,ABSENCE
SUBADULT,SCA_COER,MVS,566984.394468838,2821316.650260224,0,ABSENCE
SUBADULT,SCA_COER,MVS,566985.3383934916,2821328.8367980975,0,ABSENCE
SUBADULT,SCA_COER,MVS,567039.3017021862,2803070.9953508023,0,ABSENCE
SUBADULT,SCA_COER,MVS,567048.4615409252,2815145.24699942,0,ABSENCE
SUBADULT,SCA_COER,MVS,567052.4278178697,2815156.341128771,0,ABSENCE
SUBADULT,SCA_COER,MVS,567055.5413070901,2820957.0898528504,0,ABSENCE
SUBADULT,SCA_COER,MVS,567065.5204175265,2815151.97691691,0,ABSENCE
SUBADULT,SCA_COER,MVS,567066.7127522903,2820933.8897048435,0,ABSENCE
SUBADULT,SCA_COER,MVS,567066.7627392183,2820923.9230243526,0,ABSENCE
SUBADULT,SCA_COER,MVS,567067.5257133448,2815153.094379582,0,ABSENCE
SUBADULT,SCA_COER,MVS,567067.6122065439,2820954.935515643,0,ABSENCE
SUBADULT,SCA_COER,MVS,567068.7616008655,2820926.1479231813,0,ABSENCE
SUBADULT,SCA_COER,MVS,567069.4527901863,2803078.8973365803,0,ABSENCE
SUBADULT,SCA_COER,MVS,567070.5475099231,2815152.0020713103,0,ABSENCE
SUBADULT,SCA_COER,MVS,567070.5641340695,2815148.679867891,0,ABSENCE
SUBADULT,SCA_COER,MVS,567070.5696754475,2815147.5724667558,0,ABSENCE
SUBADULT,SCA_COER,MVS,567070.6604816839,2820948.306183644,0,ABSENCE
SUBADULT,SCA_COER,MVS,567075.7353919059,2820938.3647074634,0,ABSENCE
SUBADULT,SCA_COER,MVS,567076.5412276078,2815159.784067168,0,ABSENCE
SUBADULT,SCA_COER,MVS,567080.693648419,2820951.6788217095,0,ABSENCE
SUBADULT,SCA_COER,MVS,567191.2508631918,2823149.3921147767,0,ABSENCE
