SOURCE,ID_SURV,ID_SITE,x,y,PRES_COEL,PRES_COER,PRES_GUAC,PRES_HERB,PRES_GRIS,PRES_SCIU,PRES_INVERT
RVC,1056U_1_2016,1056U_1,584425.0340716703,2801195.2628868474,0,0,0,0,1,0,1
RVC,1074U_1_2016,1074U_1,587759.8828143224,2811654.4697847483,0,0,0,0,1,0,1
RVC,1078U_2_2016,1078U_2,586364.3401201683,2805635.1819649497,0,0,0,0,1,1,1
RVC,1078U_1_2016,1078U_1,586335.0688763154,2805649.3911692654,0,0,0,0,1,1,1
RVC,1095U_1_2016,1095U_1,588804.6952574421,2824714.214886769,0,0,0,0,1,1,1
RVC,1095U_2_2016,1095U_2,588818.555374278,2824745.317043493,0,0,0,0,1,1,1
RVC,1097U_2_2016,1097U_2,589049.2553981486,2828868.9773836597,0,0,0,0,1,0,1
RVC,1117U_1_2016,1117U_1,589722.6634538408,2819535.0468477947,0,0,0,0,1,0,1
RVC,1123U_1_2016,1123U_1,586747.74822032,2806876.9040719117,0,1,0,1,1,0,1
RVC,1124U_2_2016,1124U_2,587648.6028835196,2808979.1895957612,0,0,0,0,1,0,1
RVC,1126U_2_2016,1126U_2,588039.4163635742,2812431.535557594,0,0,0,0,1,1,1
RVC,1126U_1_2016,1126U_1,588022.0658391393,2812470.183513104,0,0,0,0,1,0,1
RVC,1143U_1_2016,1143U_1,556510.8603344958,2767058.783424772,0,0,0,0,1,1,1
RVC,1143U_2_2016,1143U_2,556536.1031830279,2767054.45844016,0,1,0,1,1,1,1
RVC,1144U_2_2016,1144U_2,558952.5334687004,2769188.5593877877,0,1,0,1,1,1,1
RVC,1144U_1_2016,1144U_1,558969.6165965849,2769204.1360279843,0,0,0,0,1,1,1
RVC,1155U_1_2016,1155U_1,564088.6411889989,2768319.1642066482,0,0,0,0,1,1,1
RVC,1155U_2_2016,1155U_2,564106.7286366324,2768334.752085235,1,0,0,1,1,1,1
RVC,1158U_1_2016,1158U_1,575025.0793912736,2784682.341245199,1,0,0,1,1,1,1
RVC,1172U_2_2016,1172U_2,578754.2162769936,2797927.226896315,1,0,0,1,1,0,1
RVC,1172U_1_2016,1172U_1,578765.2256653144,2797938.3654727177,0,1,0,1,1,0,1
RVC,1174U_2_2016,1174U_2,578499.5569596932,2788375.2976633837,1,0,0,1,1,0,1
RVC,1174U_1_2016,1174U_1,578518.5892151321,2788394.234071577,0,0,0,0,1,0,1
