OBJECTID,NAME,ZONE_TYPE,REGULATION,AREA,MIN_ALL,MAX_ALL,RANGE_ALL,MEAN_ALL,STD_ALL,SUM_ALL,MEDIAN_ALL,PCT90_ALL,PCT10_ALL,MIN_INV,MAX_INV,RANGE_INV,MEAN_INV,STD_INV,SUM_INV,MEDIAN_INV,PCT90_INV,PCT10_INV,MIN_SCA,MAX_SCA,RANGE_SCA,MEAN_SCA,STD_SCA,SUM_SCA,MEDIAN_SCA,PCT90_SCA,PCT10_SCA
11,Alligator Reef Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,836200,0.091693401,0.951261401,0.859568,0.597690789,0.271529331,19991.5615,0.693672419,0.892955077,0.200462738,0.068876252,0.919219017,0.850342765,0.564760337,0.238362809,18890.10375,0.626398236,0.833751154,0.224474697,0.096480668,0.992279351,0.895798683,0.619644423,0.295423141,20725.86666,0.740851671,0.931524533,0.185537069
12,Cheeca Rocks Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,184650,0.084526002,0.992677212,0.908151209,0.525047384,0.241427374,3877.999976,0.507897288,0.951834202,0.160757199,0.098603845,0.987705469,0.889101624,0.505301296,0.236745893,3732.155374,0.453074485,0.961039007,0.22439725,0.072933562,0.997346342,0.92441278,0.538211442,0.253373014,3975.22971,0.554744184,0.945481658,0.118186314
13,Hen and Chickens Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,428400,0.068023175,0.990830421,0.922807246,0.280054487,0.273649588,4799.013685,0.142425701,0.908253312,0.097322591,0.078887254,0.980993032,0.902105778,0.307099603,0.262357039,5262.458797,0.190645501,0.913243234,0.114378996,0.059262399,0.99769038,0.938427981,0.262024409,0.28356188,4490.050278,0.110383082,0.902718812,0.085351098
14,Davis Reef Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,356025,0.077792101,0.898848772,0.821056671,0.536450412,0.224554912,7639.590314,0.585614979,0.805895627,0.187751397,0.085639298,0.85522747,0.769588172,0.504483846,0.195513162,7184.354453,0.536871493,0.749042034,0.228799999,0.069561005,0.960078955,0.89051795,0.557761456,0.24820191,7943.080895,0.618720651,0.840964019,0.159208134
15,Conch Reef Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,438275,0.050058801,0.917940199,0.867881399,0.566326214,0.286025409,9928.264861,0.681872427,0.863476634,0.120062843,0.036206149,0.850412488,0.814206339,0.48685295,0.248048128,8535.019061,0.5204615,0.789746523,0.123994648,0.0592939,0.977000654,0.917706754,0.61930839,0.316878145,10857.09539,0.785499692,0.920053661,0.116450727
16,Molasses Reef Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,1000925,0.079547219,0.910176992,0.830629773,0.617256745,0.239782054,24713.10828,0.706377208,0.860312605,0.219938561,0.051139548,0.838389993,0.787250444,0.547318908,0.216871279,21913.00713,0.609308004,0.801091933,0.210511506,0.089549698,0.965270996,0.875721298,0.663881969,0.257817418,26579.84238,0.768119991,0.907174671,0.21561487
17,French Reef Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,484025,0.149956986,0.881232798,0.731275812,0.693530789,0.142143099,13427.44961,0.736344814,0.838719606,0.464037001,0.134866506,0.81774497,0.682878464,0.605539371,0.145506019,11723.84776,0.635882974,0.76861155,0.382322997,0.134093642,0.953641653,0.819548011,0.752191735,0.142981119,14563.18419,0.800226629,0.890072644,0.522609353
18,Grecian Rocks Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,431150,0.049495921,0.97774142,0.9282455,0.445853028,0.34317777,7689.181323,0.274100199,0.941084802,0.085850727,0.03820765,0.961408019,0.923200369,0.415775537,0.318357463,7170.464903,0.253208235,0.90362078,0.086046346,0.057021432,0.991056323,0.934034891,0.465904689,0.361279123,8034.992272,0.284378171,0.968620837,0.083027165
19,Key Largo Dry Rocks Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,205650,0.0484492,0.966910362,0.918461163,0.403608649,0.352607836,3320.084748,0.225629702,0.94542259,0.077038299,0.033203602,0.94026196,0.907058358,0.374604515,0.327813986,3081.496741,0.203496747,0.905056745,0.074686348,0.055985268,0.995869339,0.93988407,0.422944739,0.37078306,3479.143421,0.240140989,0.974941671,0.077716149
20,The Elbow Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,1034025,0.058829181,0.932327211,0.87349803,0.495795037,0.259719986,20506.57853,0.551045418,0.811662018,0.130250782,0.053520098,0.913622499,0.8601024,0.440326873,0.218459356,18212.3598,0.452221513,0.740464449,0.14864099,0.062368564,0.949277699,0.886909135,0.532773813,0.290562156,22036.05769,0.617311656,0.862847686,0.117059998
21,Carysfort Reef Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,5225225,0.036156654,0.958759606,0.922602952,0.480751746,0.288150714,100481.4417,0.549468994,0.833470821,0.124460745,0.024416249,0.934594035,0.910177786,0.434873069,0.249172058,90892.38533,0.427338481,0.768479872,0.129306802,0.041014999,0.985001028,0.943986028,0.511337531,0.31838296,106874.146,0.619682312,0.879734194,0.118538968
22,Newfound Harbor Key Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,432450,0.063512422,0.992954791,0.929442368,0.512955229,0.17063576,8873.099552,0.496538103,0.721858847,0.302105966,0.049157448,0.99270153,0.943544082,0.487720764,0.167324358,8436.593783,0.464409232,0.693752265,0.305347744,0.073082402,0.994916022,0.921833619,0.529778206,0.177713604,9164.1034,0.51948151,0.745462459,0.255096897
